label,media,date,longText,major,important,gaming,drawing,collab,video
【Shadowverse】 Let's Draw Shadowverse!!!! (Sponsored),https://i3.ytimg.com/vi/usT_PYdvwms/maxresdefault.jpg,1/14/2021,Another sponsored stream! Your Luna illustration was super adorable.,FALSE,FALSE,FALSE,TRUE,FALSE,https://www.youtube.com/watch?v=usT_PYdvwms
【COLLAB】 51 Haachamas Around The World!!!,https://i3.ytimg.com/vi/AlKyymKUK-c/maxresdefault.jpg,1/15/2021,"A very fun collab featuring HoloEN's Haachama! Wait, is that a chess match? Oh no...",FALSE,FALSE,TRUE,FALSE,TRUE,https://www.youtube.com/watch?v=AlKyymKUK-c
MOLLY.ONLINE x Hololive JP 5th Generation,https://cdn.discordapp.com/attachments/884983162768330783/886505642372788224/d30268-353-701963-4.png,1/15/2021,"The MOLLY.ONLINE merchandise for Hololive 5th generation that you illustrated for was released, and the cross-generational bonds increased even more!",FALSE,TRUE,FALSE,TRUE,FALSE,https://prtimes.jp/main/html/rd/p/000000353.000030268.html
【Princess Connect: Re Dive】 YABAI DESU NE!! Let's Draw Priconne!!!,https://i3.ytimg.com/vi/M_EjBmqo7gw/maxresdefault.jpg,1/21/2021,"Another sponsored stream, featuring Princess Connect: Re Dive this time! You showed us your unlocked potential as you gacha and color at the same time... Your Kokkoro illustration is super cute! Thank you for all the advice!",FALSE,FALSE,TRUE,TRUE,FALSE,https://www.youtube.com/watch?v=M_EjBmqo7gw
【お絵描きコラボ/Drawing collab】イナちゃんイオフィちゃんとお絵描き！・Drawing with Ina'nis chan&Iofi chan!【プロ漫画家Vtuber】,https://i3.ytimg.com/vi/BuIuauiTfMc/maxresdefault.jpg,1/24/2021,"Your first collab stream with Pochi-sensei (mama)... your chatting with Iofi and Pochi-sensei seem just like those of old friends (and punmasters)! As always, your illustrations together are beautiful!",FALSE,FALSE,FALSE,TRUE,TRUE,https://www.youtube.com/watch?v=BuIuauiTfMc
【DRAWING】 NEW SUPER NENECHI,https://i3.ytimg.com/vi/XKCCSgf5ehs/maxresdefault.jpg,1/31/2021,"An illustration stream featuring your super cute wife! It's always impressive to see you draw, no matter how many times we see it.",FALSE,FALSE,FALSE,TRUE,FALSE,https://www.youtube.com/watch?v=XKCCSgf5ehs
【Phasmophobia】 Ghost-chan Handshake Event?,https://i3.ytimg.com/vi/vYf-uD82BG8/maxresdefault.jpg,2/5/2021,"An incredibly fun and chaotic collab with Reine, Iofi, and Pochi! All this laughter is contagious--wait, this is a horror game?",FALSE,FALSE,TRUE,FALSE,TRUE,https://www.youtube.com/watch?v=vYf-uD82BG8
【Hollow Knight】 Swoosh Swoosh 【#1】,https://i3.ytimg.com/vi/KihFTfe9ayo/maxresdefault.jpg,2/5/2021,The start to your first playthrough of an amazing game. Seeing you adapt and learn so quickly is truly a sight to behold!,FALSE,FALSE,TRUE,FALSE,FALSE,https://www.youtube.com/watch?v=KihFTfe9ayo
【DRAWING】 Valentine?!,https://i3.ytimg.com/vi/duZEXAFs_Yo/maxresdefault.jpg,2/14/2021,Congratulations on 800k subscribers! Just a bit more to that 1 million mark... Your design sense is shown once again as you make yourself a beautiful outfit to wear in this lovely illustration! Will you be our Valentine...?,FALSE,TRUE,FALSE,TRUE,FALSE,https://www.youtube.com/watch?v=duZEXAFs_Yo
【DRAWING】 Gesture Drawing + New Emotes #17,https://i3.ytimg.com/vi/jO7XV591sSQ/maxresdefault.jpg,2/21/2021,Gesture drawing and even more amazing emotes! Thank you for the W A H.,FALSE,FALSE,FALSE,TRUE,FALSE,https://www.youtube.com/watch?v=jO7XV591sSQ
