user,moment,message,wah,sub,wah_sub
Zogajah,https://www.youtube.com/watch?v=2Gu1RLtLRQw&t=6609,The moment answers the question of what floors Ina chooses to sleep on and the criteria to choose worthy floors. Very important research in sleeping on floors humu humu,https://www.youtube.com/watch?v=9Cc16ZBW0GY&t=170s,,
Vantablack,https://www.youtube.com/watch?v=sdZSs87MXjo&t=42m35s,"“You can’t help but to be more critical of yourself with what’s done because, you know, there’s always that potential of ‘What if I did this?’ or ‘What if I didn’t do this?’ is ever right. But it’s when you, I guess somehow just have to step back and be like, ‘That has happened. You gotta admit it. It happened, it’s done. You can’t go back. What can I do now?’ Hahaha. It doesn’t mean you wanna forget the past, you just acknowledged that its happened and it’s there and you’ve presented it to yourself and be like, ‘Okay. Do I want this to continue? Or do I want this to change?’ Humu humu.”

Not gonna lie, looking back, when I was just a clips watcher, one of the reasons I started watching you regularly besides I really love how chill your streams are, is because of how wise your words are. Your mindset inspires me to better myself, especially when it comes to controlling my emotions.

There are so many Ina of the Mountain (or, in this stream, Ina of the Onigiri) quotes, but I chose this one because it resonates with me deeply (and kinda a hard slap for me in a way, haha). As an overthinker, I often doubt myself and get demotivated to do things, especially when trying new stuffs, because I really fear them. But you taught me to just take the first step, have confidence, and if things don’t go perfectly, learn from it and improve for next time. As life is all about learning.

I just want to sincerely thank you, Ina, for inspiring us to become better versions of ourselves. Be proud of all you’ve done. You, Myth, and everyone have never failed to bring smiles to our faces. So, Happy 4th Anniversary! Here’s to more amazing times!

(PS: Please remember to take care of yourself too. We takos sometimes do worry about your sleep schedule and whether you’re eating well, lol. Love ya, our tako priestess!)"," https://www.youtube.com/watch?v=fa-WAiTp1OE&t=3m22s

",,"(Though it may not be exactly a WAH, but dang, I need insulin for this one)"
Ithi,https://m.youtube.com/watch?v=g96MFx8X800&t=3303,"It was at that moment I realized why I kept returning to Ina's channel more than anywhere else. Having a place to return to became really important for my mental well-being during a difficult time in my life that followed soon after.
I owed her a huge bowl of chicken noodle soup that I could never repay.",https://www.youtube.com/watch?v=HlGZfrFZuRs&t=193,,
GachaLuck,https://www.youtube.com/live/TVWk8jQPQEI,"It's been a long time when myth girls have off-collab, was so happy seeing them enjoying themselves.The join-in of Goomba makes me wanna cry",https://youtu.be/aT6TGywhnKI?si=7k5kEAPpup5DyVrD&t=14,,
vignedev,https://youtu.be/qKBPsEWJggU?t=974,"Honestly, I like all the stories of Ina getting and giving hugs out to other members, but this one I remember fondly because of Ina's wish to give them all hugs one day during the anniversary.",https://youtu.be/PzkqEfCX0O8?TSKR=TSKR&t=176,,
wydken,https://www.youtube.com/live/q-zHTI7kiM8?si=HJ9gCMN-v3D4BxJp&t=6977,"My pick is Ina's ""fuwa fuwa time"" from her first anniversary! The first year was a chaotic and fun a roller coaster and this karaoke with everyone chanting tako tako time celebrating miraculously preserving will always hold a dear place in my heart! It is so hard to pick just 1 moment, these 4 years have been filled with many many fun memories! Let's keep having fun together, here's to many more years of takotime! ",https://www.youtube.com/live/ujCxiHpVYmg?si=h80K8e77n96p0mfe&t=359,,The first ever WAH!
Suzuri,https://www.youtube.com/live/CpbCaWmyLdE?si=0DjhXyDcppOslXcj&t=6461,"A great drawing stream about different hairstyles, I always tune into Ina's drawing streams so comfy and relaxing.",https://www.youtube.com/live/IFcmRn0iCpw?si=a2GH2BIQK-IjMuwM&t=113,,
McArkus,https://youtu.be/u6J94L4mPpg&t=2523,"The moment she beats Hollow knight is burned in my memory, was a very fun journey and the last part versus the radiance was such a release of emotions",https://www.youtube.com/watch?v=R-w_TZ9Pfl8,,
NxKarim," https://www.youtube.com/live/7ON5t1BvD4A?si=CzkbBWZZVBYwfBb8&t=1295
","So many favorite moments... watching Ina is always fun! Every moment is my favorite!

But if I had to choose—man, that's hard—so I picked two. The first is when my silly joke drawing prediction of Ina's cooking outfit was featured on stream! I actually couldn't believe it, since I submitted it quite late, and it was just a cute/silly thing, but Ina liked it! Ina and the Takos love for cookies is eternal and infinite; the cookie dress sure looked edible, heh.

Also, when she performed ""~(if ~Hitori Omou~)"" during her 3D showcase, I was actually stunned, shocked, I exploded, melted, died, and revived! FE is one of my favorite franchises, and I love that song so much. Seeing Ina dance and sing it so gracefully, so adorably... was incredible.

Man, I love Ina. She's really a great inspiration for me, and I'm sure she is for all of us Takos. She brought us together, and gave us so many fun moments. Our priestess is amazing!

Happy 4th Anniversary!!",https://www.youtube.com/live/LtCfuHLrixY?si=7lOWyHx3ON_iL1Qh&t=249,,
hidden,https://www.youtube.com/watch?v=ZLHbd8z2f6U,"I love ""OI."" moments. Happy Anniversary Inaaaaaaaaaa WAH","i don't remember much, but WAH.",Stream source: https://www.youtube.com/watch?v=3edvIFyB8-4,
RealKuro,"https://www.youtube.com/watch?v=Fo0D8TALflU&t=0s&ab_channel=NinomaeIna%27nisCh.hololive-EN
","I choose this moment because Ina make me laugh so much with this move, I have seen the clip countless times xD
Thank you Ina for being you and bring joy in our life, love from France ~ ♥","https://www.youtube.com/watch?v=9mdu2FvyJHw&ab_channel=NinomaeIna%27nisCh.hololive-EN

","
When she want to pre heart (pre hit) the oven from 14'14 to 14'33","From 2'52 to 3'45
"
